cif,formula,energy,formation_energy,formation_energy_per_atom,uid
Zr4S4Br4_7_21841.vasp,Zr4S4Br4,-43.34885836,-22.591983626666668,-1.8826653022222224,21841
Zr4S2N3_164_21840.vasp,Zr4S2N3,-57.96749343,-31.06311668666666,-3.451457409629629,21840
Zr4S2N3F2_164_21839.vasp,Zr4S2N3F2,-59.37415682,-32.73288517666667,-2.9757168342424247,21839
Zr4S4Cl4_31_21842.vasp,Zr4S4Cl4,-46.17220247,-25.35515444916667,-2.112929537430556,21842
Zr4S4F4_31_21843.vasp,Zr4S4F4,-52.05528505,-31.79350572666667,-2.649458810555556,21843
Zr4S4I1Br3_6_21844.vasp,Zr4S4I1Br3,-44.30407756,-23.85301110916667,-1.987750925763889,21844
Zr4S4I4_7_21845.vasp,Zr4S4I4,-39.690871,-20.15722939666667,-1.679769116388889,21845
Zr4S6F2_8_21846.vasp,Zr4S6F2,-54.89865085,-31.83711896166667,-2.653093246805556,21846
Zr4Se4Br4_31_21847.vasp,Zr4Se4Br4,-38.92116705,-16.20947088666667,-1.3507892405555555,21847
Zr4Se4Cl4_31_21848.vasp,Zr4Se4Cl4,-41.74544766,-18.97357820916667,-1.581131517430556,21848
Ag1F1_187_51.vasp,Ag1F1,-0.48390001,0.4102895099999999,0.2051447549999999,51
Zr4Se4I4_7_21850.vasp,Zr4Se4I4,-35.27148298,-13.78301994666667,-1.1485849955555558,21850
Zr4Se4S2Cl4_12_21851.vasp,Zr4Se4S2Cl4,-51.08157962,-25.773062704166662,-1.840933050297619,21851
Zr4Sn4_59_21852.vasp,Zr4Sn4,-21.76402504,-3.679003091884056,-0.4598753864855069,21852
Ag2P12_31_346.vasp,Ag2P12,-41.65378205,-5.575395030000003,-0.3982425021428573,346
Ag2P2O4_26_347.vasp,Ag2P2O4,-27.49826533,-15.31954319,-1.91494289875,347
Ag2P2O6_1_349.vasp,Ag2P2O6,-40.40574514,-25.998979240000004,-2.5998979240000004,349
Ag2P2O6_162_348.vasp,Ag2P2O6,-38.73657743,-24.32981153,-2.432981153,348
Ag2P2S4_26_350.vasp,Ag2P2S4,-17.15775532,-4.361825769999999,-0.5452282212499999,350
Ag2P2S6_162_351.vasp,Ag2P2S6,-23.17567245,-7.843095435,-0.7843095435,351
Ag2P2Se4_26_352.vasp,Ag2P2Se4,-13.52822131,1.22252967,0.15281620875,352
Ag2P2Se6_162_353.vasp,Ag2P2Se6,-18.10026002,0.1645491399999983,0.0164549139999998,353
Ag2P30_2_354.vasp,Ag2P30,-119.9417942,-32.823052860000004,-1.025720401875,354
Ag2P4Br2O3_6_355.vasp,Ag2P4Br2O3,-30.87393577,-14.153642425,-1.286694765909091,355
Ag2P4Cl2O3_6_356.vasp,Ag2P4Cl2O3,-31.72662362,-14.976243631250004,-1.3614766937500002,356
Ag2P4O12_12_357.vasp,Ag2P4O12,-77.44251985,-50.68047219,-2.8155817883333336,357
Ag2P4S12_10_358.vasp,Ag2P4S12,-44.19692825,-15.58325836,-0.8657365755555555,358
Ag2P4S3Br2_6_359.vasp,Ag2P4S3Br2,-23.4981354,-6.3149364975,-0.5740851361363636,359
Ag2P4S3Cl2_6_360.vasp,Ag2P4S3Cl2,-24.35351878,-7.140233233750003,-0.6491121121590911,360
Ag2P4S3F2_6_361.vasp,Ag2P4S3F2,-25.82569219,-8.890040992500005,-0.8081855447727277,361
Ag2P4S3I2_6_362.vasp,Ag2P4S3I2,-22.42763963,-5.8560572925000045,-0.5323688447727277,362
Ag2P4Se3Br2_6_363.vasp,Ag2P4Se3Br2,-20.61880945,-1.9694944750000007,-0.1790449522727273,363
Ag2P4Se3Cl2_6_364.vasp,Ag2P4Se3Cl2,-21.47559266,-2.796191041250001,-0.2541991855681819,364
