material_id,formation_energy_per_atom,error
As4H4Pb16Cl16O16_14_1328.vasp,-2.1093166471428573,Too many atoms
Ba2H16C12N12O16_2_1989.vasp,-2.365142070862069,Too many atoms
Be8As4H20O28_14_2291.vasp,-3.3202952731666664,Too many atoms
Bi4S12O42_2_2638.vasp,-3.189199395344828,Too many atoms
C60_164_2773.vasp,2.455051466,Too many atoms
C60_47_2774.vasp,2.4502096535000004,Too many atoms
Ca2B8H40N4_30_2948.vasp,-2.1010254090740745,Too many atoms
Co4P8H44C8N4O32_14_4083.vasp,-2.5872738443000003,Too many atoms
Cs2I2_129_4752.vasp,-1.131289235,No Voronoi neighbors found for site - try increasing cutoff
Cu4H24C4N8O12_14_5409.vasp,-2.277981454038461,Too many atoms
Cu8P32Se12Br8_57_5502.vasp,-0.590397937,Too many atoms
Ge2Pb2S12O42_2_6817.vasp,-3.2077566768965515,Too many atoms
H24Pb2C8S8N4O16_2_6985.vasp,-1.941651965806452,Too many atoms
Hg3Br2_164_8053.vasp,1.854341367,No Voronoi neighbors found for site - try increasing cutoff
K1Mg2B12H19O30_5_8915.vasp,-3.636058060078125,Too many atoms
K4Na4H48C4O36_7_9480.vasp,-2.8043758985416667,Too many atoms
K8Be8H48N24_14_9549.vasp,-2.632204656704545,Too many atoms
Li2Nb12Cl38_51_10008.vasp,-1.6531690219951924,Too many atoms
Li4Al4H32N16_14_10155.vasp,-2.7916790351785714,Too many atoms
Li6Fe2H20C12O34_2_10264.vasp,-2.481883680810812,Too many atoms
Na2Ca2B10H32O34_2_12015.vasp,-3.435806077875,Too many atoms
Na4B20H16O40_14_12367.vasp,-3.8136365795,Too many atoms
Na6P2H32S8O16_2_12444.vasp,-2.6217781740625004,Too many atoms
Rb4Si8H72C24N4_14_14981.vasp,-1.2602124931250007,Too many atoms
Tl4Cr16Bi4O56_14_19599.vasp,-3.3491775933750008,Too many atoms
Zn6P6H18O30_2_21238.vasp,-2.969394420166666,Too many atoms
Co8P8H24O32_29_4092.vasp,-2.984082147083333,Too many atoms
Na8Sn8H16O20_4_12454.vasp,-2.851921784431438,Too many atoms
Rb2B10H16O24_30_14769.vasp,-3.5694048200000004,Too many atoms
