cif,formula,energy
Zr4S4Br4_7_21841.vasp,Zr4S4Br4,-43.34885836
Zr4S2N3_164_21840.vasp,Zr4S2N3,-57.96749343
Zr4S2N3F2_164_21839.vasp,Zr4S2N3F2,-59.37415682
Zr4S4Cl4_31_21842.vasp,Zr4S4Cl4,-46.17220247
Zr4S4F4_31_21843.vasp,Zr4S4F4,-52.05528505
Zr4S4I1Br3_6_21844.vasp,Zr4S4I1Br3,-44.30407756
Zr4S4I4_7_21845.vasp,Zr4S4I4,-39.690871
Zr4S6F2_8_21846.vasp,Zr4S6F2,-54.89865085
Zr4Se4Br4_31_21847.vasp,Zr4Se4Br4,-38.92116705
Zr4Se4Cl4_31_21848.vasp,Zr4Se4Cl4,-41.74544766
Ag1F1_187_51.vasp,Ag1F1,-0.48390001
Zr4Se4I4_7_21850.vasp,Zr4Se4I4,-35.27148298
Zr4Se4S2Cl4_12_21851.vasp,Zr4Se4S2Cl4,-51.08157962
Zr4Sn4_59_21852.vasp,Zr4Sn4,-21.76402504
Ag2P12_31_346.vasp,Ag2P12,-41.65378205
Ag2P2O4_26_347.vasp,Ag2P2O4,-27.49826533
Ag2P2O6_1_349.vasp,Ag2P2O6,-40.40574514
Ag2P2O6_162_348.vasp,Ag2P2O6,-38.73657743
Ag2P2S4_26_350.vasp,Ag2P2S4,-17.15775532
Ag2P2S6_162_351.vasp,Ag2P2S6,-23.17567245
Ag2P2Se4_26_352.vasp,Ag2P2Se4,-13.52822131
Ag2P2Se6_162_353.vasp,Ag2P2Se6,-18.10026002
Ag2P30_2_354.vasp,Ag2P30,-119.9417942
Ag2P4Br2O3_6_355.vasp,Ag2P4Br2O3,-30.87393577
Ag2P4Cl2O3_6_356.vasp,Ag2P4Cl2O3,-31.72662362
Ag2P4O12_12_357.vasp,Ag2P4O12,-77.44251985
Ag2P4S12_10_358.vasp,Ag2P4S12,-44.19692825
Ag2P4S3Br2_6_359.vasp,Ag2P4S3Br2,-23.4981354
Ag2P4S3Cl2_6_360.vasp,Ag2P4S3Cl2,-24.35351878
Ag2P4S3F2_6_361.vasp,Ag2P4S3F2,-25.82569219
Ag2P4S3I2_6_362.vasp,Ag2P4S3I2,-22.42763963
Ag2P4Se3Br2_6_363.vasp,Ag2P4Se3Br2,-20.61880945
