cif,formula,energy
OQMD-3525272.vasp,O56Re16,-411.23669554
OQMD-9436056.vasp,In6Y6,-35.45018436
OQMD-8158845.vasp,F6Hg2K2,-12.04772209
OQMD-4758798.vasp,Cu3Se4Sn1,-10.22641706
OQMD-8416911.vasp,In16S6Te24,-77.01300387
OQMD-2025294.vasp,K4O16V6,-129.57235821
OQMD-8500711.vasp,Cl12Cs2Ru2,-20.23713792
OQMD-9069358.vasp,Nb2S4,-25.71909026
OQMD-2027585.vasp,Ba10P18,-97.7496182
OQMD-224529.vasp,Ga20Li4O32,-261.71812738
OQMD-9182186.vasp,Li2O8V4,-76.22481469
OQMD-1283234.vasp,Nb6S8,-68.3065175
OQMD-7740875.vasp,Mn1Te2,-5.32738716
OQMD-7763881.vasp,As1Hf2Te2,-22.23684878
OQMD-9782921.vasp,Ag4Ba4,1.4868498
OQMD-8161001.vasp,As4Li4Pd2,-20.95097917
OQMD-8495627.vasp,Ag4Cl4Hg4Se4,4.27101327
OQMD-10002374.vasp,Cr8O60Se24,-358.27446027
OQMD-8159051.vasp,Br2Ga2,-5.4576658
OQMD-2017734.vasp,As8Co8Se8,-66.27512436
OQMD-7777363.vasp,Cu4In2S6,-21.29566337
OQMD-9082900.vasp,Br2Cd1O2Pb2,-14.09675599
OQMD-7902339.vasp,F8Hg4,-5.36092267
OQMD-50782.vasp,Nb2Ni6,-10.40325267
OQMD-9423574.vasp,Cl6Mo1Rb2,-14.34235289
OQMD-9943237.vasp,Ba8Ir2,-7.82770164
OQMD-9184126.vasp,Sc8Te12,-61.59354198
OQMD-9748617.vasp,Br4Cu3,-1.44902116
OQMD-9693931.vasp,P4S12Sb2Tl2,-59.53799806
OQMD-7755533.vasp,Br4Ni4Te4,-5.54886815
OQMD-1220529.vasp,F4H12O4,-78.11348826
OQMD-9765309.vasp,Cl28Mo4O4Te4,-70.88019223
OQMD-4127838.vasp,Ga1P1,-4.28704996
OQMD-9471280.vasp,Ag4Cl12Pd2,-8.51531715
OQMD-6756890.vasp,Br5I1Zr2,-18.53860168
OQMD-7824415.vasp,Bi1Br1Te1,-4.15038324
OQMD-2024100.vasp,Ba6Br4Fe4O10,-84.34538094
OQMD-1967168.vasp,Bi6O14Sb2,-90.22938476
OQMD-34091.vasp,Ir1,-5.2112189
OQMD-1910757.vasp,O8Pb2W2,-64.33200011
OQMD-6115306.vasp,Se2Ta4Te4,-44.37232526
OQMD-2014883.vasp,Co2Fe4O8,-53.07336761
OQMD-7915321.vasp,S6Ti4,-54.7969547
OQMD-8641568.vasp,Au10Ca10,-4.22078195
OQMD-1769328.vasp,Cl4Cu4Se8,-19.47055215
OQMD-323386.vasp,Pd8Sb4,-21.37336374
OQMD-9879818.vasp,Au124Ge1,80.36169328
OQMD-55768.vasp,Cd1Ga2Te4,-8.83193588
OQMD-52746.vasp,As4Ta2,-30.88361536
OQMD-9857393.vasp,Ba12Mn10O32,-251.35727668
OQMD-7775711.vasp,Cl2S2Sc2,-22.93715513
OQMD-49957.vasp,Ag4Ba2,1.98478679
OQMD-2065940.vasp,Ca8Fe8O20,-147.3437747
OQMD-9511422.vasp,Ru2Te4,-15.72596826
OQMD-8706936.vasp,Cu4S12Tl4Zr4,-73.26834989
OQMD-5188080.vasp,Ag4Se6Te2,-11.47095954
OQMD-9716342.vasp,Cd8F8O12Se4,-74.91095096
OQMD-7745435.vasp,I4Sm2,-10.79639167
OQMD-7749791.vasp,F6Hg2Na2,-14.62761829
OQMD-7788961.vasp,F6K2Sn1,-23.60154955
OQMD-3501183.vasp,O36V20,-321.49033176
OQMD-2026219.vasp,As4Pb9S15,-73.49789314
OQMD-2035753.vasp,P4Rb4Se24,-69.40692219
OQMD-9659973.vasp,Cu4I5,1.25960293
OQMD-2012101.vasp,Na16O28P8,-249.675233
OQMD-7746921.vasp,As2O8Tl2,-44.59045682
OQMD-9416767.vasp,Cu3Ge1S4,-15.64035059
OQMD-7784697.vasp,Nb2Ni1Se6,-29.99906767
OQMD-9802273.vasp,Bi12Cr4O30,-196.90195084
OQMD-2013323.vasp,Co3Sn3,-7.02394052
OQMD-9956996.vasp,Br2F2Pt1,-3.85975658
OQMD-1096910.vasp,Ba4H4I4O4,-54.85187839
OQMD-7921989.vasp,Au2Fe2O4,-21.77921716
OQMD-9523726.vasp,Ga8Mg4O16,-131.46603885
OQMD-1967596.vasp,Ag2F18Xe2,-5.23278823
OQMD-1919397.vasp,Ca2H12O14P4,-154.26540311
OQMD-8181241.vasp,Cu6S2Se4,-12.98959481
OQMD-9421996.vasp,Cl6K1Ta1,-19.87064104
OQMD-5281477.vasp,I2O2Sm2,-27.24979203
OQMD-42938.vasp,Cu2Li1P2,-11.01127435
OQMD-1285435.vasp,Cs2Sb4Se8,-30.77433395
OQMD-1901998.vasp,Ba2N4,-31.01361198
OQMD-7675769.vasp,C1Cl2Sc2,-21.47570522
OQMD-44543.vasp,C1F2Gd2,-24.7633402
OQMD-3485922.vasp,Se24Sn8Tl16,-78.12425679
OQMD-50135.vasp,Hg1Na4P2,-9.1786413
OQMD-9591033.vasp,B2Ta2,-31.57299583
OQMD-2000234.vasp,P2Se6Zn2,-18.59797166
OQMD-1837208.vasp,Zr2,-8.59921096
OQMD-2017265.vasp,Bi4I4O16,-75.96658519
OQMD-3485890.vasp,P8Pb12S32,-152.64310108
OQMD-9826733.vasp,F40V8,-149.45085335
OQMD-9785241.vasp,Ag8Mo8O28,-177.28852166
OQMD-7771013.vasp,I6Tm2,-12.71712763
OQMD-2012387.vasp,P20Tl4,-83.55788685
OQMD-9404930.vasp,Nd1Pb3,-4.8631362
OQMD-9680784.vasp,O10Sb4,-60.29884272
OQMD-7751713.vasp,Al2Ge2Te2,-15.85637963
OQMD-9365670.vasp,Ce3Se3,-24.18452767
OQMD-1238656.vasp,Zn1Zr1,-4.61477311
OQMD-2074682.vasp,Br24W12,-93.06627298
OQMD-7965713.vasp,O6Pb4Rb4,-37.60179313
OQMD-9592112.vasp,Ag1O2Tl1,-7.71301294
OQMD-2010766.vasp,Na4O14Sb8,-105.33477429
OQMD-7781983.vasp,F6K1V1,-23.85325434
OQMD-9603815.vasp,Cl2Zr2,-13.90735852
OQMD-48086.vasp,Au4S2,-1.95476046
OQMD-8385355.vasp,F4K2Pd1,-12.32721241
OQMD-9810140.vasp,Bi6F2O28Se10,-169.83883391
OQMD-5244778.vasp,Fe4N8O24,-162.12507232
OQMD-180964.vasp,Cr2Si2Te6,-22.69262505
OQMD-7738495.vasp,Li4O6Se2,-49.56135098
OQMD-39693.vasp,Al1Ni3,-2.71971071
OQMD-1941930.vasp,Mo4O16Zr2,-125.37848768
OQMD-182331.vasp,Rh3Te8,-23.09517145
OQMD-1926834.vasp,Au16Hf4,-20.10671388
OQMD-8326243.vasp,Gd2I2Se2,-17.54826998
OQMD-9673658.vasp,Br2F8Rb2,-16.98836833
OQMD-6292151.vasp,Br6Cl4Nb2,-25.50076671
OQMD-1776063.vasp,Ga2I14Te2,-5.48197084
OQMD-8494041.vasp,H6K2O6Pd1,-54.67966946
OQMD-5183193.vasp,Bi8O24Si6,-195.34611549
OQMD-7761797.vasp,Ag2O2,-5.46841021
OQMD-4117212.vasp,In1,-2.53059312
OQMD-2066147.vasp,Ga12I24,-28.67313045
OQMD-34591.vasp,Bi1Li1,-1.70984063
OQMD-8332983.vasp,Co2F8,-18.20994056
OQMD-1280829.vasp,O6Tl8,-30.68855277
OQMD-2004326.vasp,Na4Pt8Se12,-52.24346461
OQMD-2026500.vasp,Al4As12Ca12,-74.80154376
OQMD-8336564.vasp,I1Li5O6,-46.99957818
OQMD-59598.vasp,S6Ti2,-36.34512415
OQMD-2388813.vasp,Hf4O28V8,-249.70968049
OQMD-7789851.vasp,Br2Gd1,-6.96762476
OQMD-5184953.vasp,Br4O2Sr4,-29.10645035
OQMD-7752605.vasp,C1H2Sc2,-22.58076631
