,uid,layergroup,has_inversion_symmetry,lgnum,ehull,hform,id
0,1AsMnS2-1,p4mm,False,55.0,0.4357605648271675,0.010649243001195074,1
1,2KTeC2-1,pm2_1n,False,32.0,1.0413054456776643,0.6142460907626717,2
2,1AuSeBr2-1,pmm2,False,23.0,0.2635409380181917,0.11024756907948907,3
3,1BiPdBr2-1,pmm2,False,23.0,0.3178465916276231,-0.3030854032957073,4
4,2KSC2-1,pm2_1n,False,32.0,0.9836857166189201,0.501411393229132,5
5,1STeZr2-1,p4mm,False,55.0,0.07404454451279996,-1.0932552859791391,6
6,2CLiH2-1,cmme,True,48.0,0.5546684831565104,0.265344715533014,7
7,2HfOCl2-1,pm2m,False,27.0,0.13191180251903356,-2.3362254883315234,8
8,2AgPO2-1,pm2_1b,False,28.0,0.42706013171844304,-0.9074928721840596,9
9,4NaSbS2-1,p2_1/b11,True,17.0,0.03682607966135887,-0.6722907106695732,10
10,4NaSbS2-2,pb2_1a,False,33.0,0.03712155663691252,-0.6719952336940196,11
11,1ISZn2-1,pmm2,False,23.0,0.3745691519593589,-0.2710958207598295,12
12,1CoNiTe2-1,p-4m2,False,59.0,0.08229445856849105,-0.11130791660412953,13
13,2CuSbS2-1,pm2_1b,False,28.0,0.06286595717242083,-0.20737259073667147,14
14,2BiCuTe2-1,pm2_1b,False,28.0,0.13251279484123168,-0.03272314744772897,15
15,2CuPTe2-1,pm2_1b,False,28.0,0.1816747829850256,0.11352198753581533,16
16,1PbRbS2-1,p3m1,False,69.0,0.4261332790058523,-0.323723465896979,17
17,2HPdTe2-2,pm11,False,11.0,0.19944170806611705,-0.062408342701004926,18
18,2HPdTe2-1,p2_1/m11,True,15.0,0.11399334993314048,-0.1478567008339815,19
19,1NbPtCl2-1,pmm2,False,23.0,0.5077303124724655,-0.625631944343481,20
20,1AuGeSe2-1,p3m1,False,69.0,0.17518869750328703,-0.0240119434752315,21
21,1MoSeI2-1,pmmm,True,37.0,0.30201146255530736,-0.11927575196339824,22
22,1MnZnSe2-1,p-4m2,False,59.0,0.10727088424581899,-0.4280121404789803,23
23,1CrOI2-1,pmmm,True,37.0,0.19742924369779935,-0.7725058064289625,24
24,2CuPS2-1,pm2_1b,False,28.0,0.12493767013206844,-0.11923515748660662,25
25,4NaSeO2-1,p112/a,True,7.0,0.008167845018143938,-1.2341202373592286,26
26,1ClSCo2-1,p3m1,False,69.0,0.28564190550233026,-0.21327364909676572,27
27,4AsSiNi2-1,pb2_1a,False,33.0,0.43541542732015603,-0.0016394574073252954,28
28,2ClNbO2-1,p2_1/m11,True,15.0,0.012431175013481788,-2.3215082889763012,29
29,2ClNaS2-1,p-42_1m,False,58.0,0.8763923120841411,-0.042629943784516566,30
30,2AsAuS2-1,pm2_1b,False,28.0,0.16751443820707457,0.04451759324963156,31
31,2KOC2-1,pm2_1n,False,32.0,0.9715156841460701,0.044292802511659346,32
32,1GePbI2-1,cm11,False,13.0,0.36301642002313006,-0.15629993322449964,33
33,1RhRuI2-1,p1,False,1.0,0.6324354771934804,0.42378141687884696,34
34,2GaMnSe2-1,cm11,False,13.0,0.18106979348032848,-0.306279939891799,35
