material_id,formation_energy_per_atom,error,validation_info
2CLiH2-1,0.265344715533014,Rejection reason: Contains multiple target elements: ['C'],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': ""Contains multiple target elements: ['C']"", 'structure_elements': ['H', 'Li', 'C'], 'target_elements_found': ['C']}"
2HPdTe2-2,-0.0624083427010049,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Pd', 'Te'], 'target_elements_found': []}"
2HPdTe2-1,-0.1478567008339815,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Pd', 'Te'], 'target_elements_found': []}"
2KOC2-1,0.0442928025116593,Rejection reason: Connectivity issues,"{'total_atoms': 8, 'isolated_atoms': [0, 1], 'isolated_count': 2, 'neighbor_counts': [0, 0, 3, 3, 2, 2, 5, 5], 'closest_neighbor_distances': [inf, inf, 2.8999924201374685, 2.899992420137468, 2.8179543944195697, 2.81795439441957, 2.81795439441957, 2.8179543944195697], 'structure_elements': ['K', 'O', 'C'], 'target_elements_found': ['C'], 'rejection_reason': 'Connectivity issues'}"
2HNaI2-1,-0.6154904266474166,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Na', 'I'], 'target_elements_found': []}"
1BGeH2-1,0.2692584016263417,Rejection reason: Contains multiple target elements: ['B'],"{'total_atoms': 4, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': ""Contains multiple target elements: ['B']"", 'structure_elements': ['H', 'Ge', 'B'], 'target_elements_found': ['B']}"
1HMnO2-1,-1.2089513267337724,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 4, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'O', 'Mn'], 'target_elements_found': []}"
2BiHSe2-1,-0.2369726540796164,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Bi', 'Se'], 'target_elements_found': []}"
4AgOH2-1,-0.3506431583836011,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 16, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Ag', 'O'], 'target_elements_found': []}"
2NNaH2-1,-0.3766319736340753,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Na', 'N'], 'target_elements_found': []}"
2CoHSe2-1,-0.1819760558030552,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Se', 'Co'], 'target_elements_found': []}"
2FeHTe2-1,0.0870494163932562,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'Fe', 'Te'], 'target_elements_found': []}"
2HInSe2-1,-0.3356157896112517,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'In', 'Se'], 'target_elements_found': []}"
1BSiH2-1,0.1835235389925031,Rejection reason: Contains multiple target elements: ['B'],"{'total_atoms': 4, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': ""Contains multiple target elements: ['B']"", 'structure_elements': ['H', 'Si', 'B'], 'target_elements_found': ['B']}"
2CoHO2-1,-1.0347263823586426,Rejection reason: Contains multiple target elements: [],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': 'Contains multiple target elements: []', 'structure_elements': ['H', 'O', 'Co'], 'target_elements_found': []}"
2CNaH2-1,0.3745534789322349,Rejection reason: Contains multiple target elements: ['C'],"{'total_atoms': 8, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': ""Contains multiple target elements: ['C']"", 'structure_elements': ['H', 'Na', 'C'], 'target_elements_found': ['C']}"
1CSiH2-1,-0.1478929430940958,Rejection reason: Contains multiple target elements: ['C'],"{'total_atoms': 4, 'isolated_atoms': [], 'isolated_count': 0, 'neighbor_counts': [], 'closest_neighbor_distances': [], 'rejection_reason': ""Contains multiple target elements: ['C']"", 'structure_elements': ['H', 'Si', 'C'], 'target_elements_found': ['C']}"
